;да;Ты за альянс или орду?
0;альянс;ты проиграл~
0;орда;Ты волшебник, воин, друид или вор
01;волшебник;Ты появился в городе, куда пойдешь - на аукцион или на арену
01;воин;Ты появился на арене, куда пойдешь - на аукцион или в город
01;друид;Ты появился в лесу, ты друид-медведь или друид-кошка
01;вор;тебя посадили в тюрьму~
012;друид-медведь;какого ты цвета, белого или афроамериканского
012;друид-кошка;ты сфинкс или перс
0120;белого;ты победил$
0120;афроамериканского;ты проиграл~
0120;негр;ты сел за расизм~
0121;сфинкс;у тебя украли нос, ты задохнулся и умер~
0121;перс;ты победил$
